timestamp,request_id,method,path,query,status_code,latency_ms,client_ip,user_agent,user,role,event_type,source,true_label,predicted_label,result_type
2026-03-18T01:08:39.181518Z,5d540145-d289-4bb2-abab-376c1f35513e,GET,/,,200,18.322,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:39.305814Z,40983e87-d389-4323-b410-4e2ae537d877,GET,/products,limit=5,200,5.2,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:39.373935Z,2ec5ff3d-460a-4538-8972-2ee6190863a0,GET,/products,limit=5,200,1.428,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:39.471884Z,c5af1f88-e4b5-4531-9cc0-b378a4a52e1a,GET,/,,200,0.988,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:39.587038Z,e747ffba-db0b-45f2-a164-f1d162755995,GET,/,,200,0.739,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:39.732204Z,2fff9d8a-0c89-41f2-be0e-62b687cd6886,GET,/health,,200,1.819,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:39.781559Z,28b128f5-8ada-421e-a364-bb15eadbe74d,GET,/products,limit=5,200,1.142,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:39.862868Z,15266137-2aec-4d78-84c1-bfa15751960a,GET,/products,limit=10,200,10.075,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:39.902134Z,21c3d64f-b31d-4bc1-85fd-d10d38817e7d,GET,/,,200,1.197,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:40.015920Z,21dcaa28-3e72-42ed-b413-c8f19cf6ca75,GET,/products,limit=10,200,1.024,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:40.162391Z,faf01ee5-e47a-41a2-9be9-4e8c55e306fa,GET,/products,limit=10,200,0.754,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:40.280155Z,51792683-9965-4b6a-85bf-b7e36cb91c35,GET,/products,limit=10,200,0.964,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:40.373605Z,3ffb3b90-c530-4358-a67a-94b602550326,GET,/products,limit=10,200,0.893,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:40.485761Z,85adf750-28cf-4eb0-bf67-ff94a0d0f37a,GET,/products,limit=5,200,0.972,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:40.582465Z,0d6cb218-348a-4182-9ae7-a202b4aa8564,GET,/products,limit=5,200,1.138,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:40.716246Z,7f8fe0a4-a563-46fc-b062-18a9ed982568,GET,/products,limit=5,200,1.425,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:40.755603Z,52c475a7-0136-4070-aeda-87210b946bc0,GET,/products,limit=10,200,1.03,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:40.810295Z,1f4e4f1e-8a56-4d78-8ae6-71a31e0cca90,GET,/products,limit=5,200,1.383,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:40.848690Z,e86224a9-6524-4760-b0fe-0fb5dc3bfeb6,GET,/products,limit=5,200,1.211,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:41.001704Z,25c4bed9-d396-47ff-9d89-d9350a2085ca,GET,/products,limit=10,200,0.973,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:41.125870Z,08d31694-b521-4bfd-84fd-89e021d48d93,GET,/products,limit=5,200,1.254,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:41.268968Z,c7f6e5f5-5084-4bae-965e-59b5372875b8,GET,/products,limit=5,200,1.179,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,1,FP
2026-03-18T01:08:41.322349Z,3619d39d-e5ca-418c-bc94-bf2c1bfebe4f,GET,/products,limit=10,200,1.19,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:41.374842Z,fc923456-10de-47b3-b045-91801f878b08,GET,/products,limit=10,200,0.923,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:41.520755Z,aa428a48-7ab2-4f23-9172-642b248e0232,GET,/products,limit=10,200,1.254,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:41.660580Z,ed92c773-8316-41f1-9b35-5e662fdcd972,GET,/products,limit=10,200,1.257,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:41.734106Z,d3d25234-4242-4e43-8b52-003daeae5b94,GET,/health,,200,1.598,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:41.813132Z,66579361-098c-4622-b735-4960620f7d66,GET,/,,200,2.071,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:41.917192Z,faeea79c-8200-4f11-8f1b-22d752c4410b,GET,/,,200,1.237,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:42.031880Z,9893a65f-bf5a-4447-a838-b35fee96e487,GET,/products,limit=10,200,1.067,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:42.104680Z,8fcb43f0-ee4a-4b9b-ac90-1adf56e86a22,GET,/,,200,0.97,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:42.159860Z,04bb080a-dbe3-4d5e-9e25-a29e1f64e59a,GET,/,,200,0.838,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:42.258714Z,50fa8872-84eb-4d76-974d-348a77cd3efc,GET,/health,,200,1.812,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:42.383137Z,b0c30ed3-f1be-4d52-b309-698a4493c2dc,GET,/products,limit=10,200,1.15,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:42.521803Z,e8a47677-2535-4614-9c13-24343e7c61a8,GET,/,,200,0.716,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:42.669593Z,6826aec8-520a-43c9-a53f-9aa163b30dbe,GET,/products,limit=5,200,0.995,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:42.727739Z,e25bbfdb-e8e5-461b-af5e-ab1d4f3b8acb,GET,/health,,200,0.827,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
2026-03-18T01:08:42.770783Z,970f1d0b-457c-473a-9608-5ce9de137858,GET,/products,limit=5,200,0.984,127.0.0.1,python-requests/2.32.5,normal-user,user,web_request,webapp,0,0,TN
