timestamp,client_ip,method,path,query,event_type,status_code,latency_ms,hour_of_day,is_error,is_auth_failed,is_scan,is_admin_path,is_sqli,is_xss,is_token_abuse,is_bot,req_per_min_ip,unique_paths_per_min_ip
2026-03-18 01:08:39.181518+00:00,127.0.0.1,GET,/,,web_request,200,18.322,1,0,0,0,0,0,0,0,0,1,1
2026-03-18 01:08:39.305814+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,5.2,1,0,0,0,0,0,0,0,0,2,2
2026-03-18 01:08:39.373935+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.428,1,0,0,0,0,0,0,0,0,3,2
2026-03-18 01:08:39.471884+00:00,127.0.0.1,GET,/,,web_request,200,0.988,1,0,0,0,0,0,0,0,0,4,2
2026-03-18 01:08:39.587038+00:00,127.0.0.1,GET,/,,web_request,200,0.739,1,0,0,0,0,0,0,0,0,5,2
2026-03-18 01:08:39.732204+00:00,127.0.0.1,GET,/health,,web_request,200,1.819,1,0,0,0,0,0,0,0,0,6,3
2026-03-18 01:08:39.781559+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.142,1,0,0,0,0,0,0,0,0,7,3
2026-03-18 01:08:39.862868+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,10.075,1,0,0,0,0,0,0,0,0,8,3
2026-03-18 01:08:39.902134+00:00,127.0.0.1,GET,/,,web_request,200,1.197,1,0,0,0,0,0,0,0,0,9,3
2026-03-18 01:08:40.015920+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.024,1,0,0,0,0,0,0,0,0,10,3
2026-03-18 01:08:40.162391+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,0.754,1,0,0,0,0,0,0,0,0,11,3
2026-03-18 01:08:40.280155+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,0.964,1,0,0,0,0,0,0,0,0,12,3
2026-03-18 01:08:40.373605+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,0.893,1,0,0,0,0,0,0,0,0,13,3
2026-03-18 01:08:40.485761+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,0.972,1,0,0,0,0,0,0,0,0,14,3
2026-03-18 01:08:40.582465+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.138,1,0,0,0,0,0,0,0,0,15,3
2026-03-18 01:08:40.716246+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.425,1,0,0,0,0,0,0,0,0,16,3
2026-03-18 01:08:40.755603+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.03,1,0,0,0,0,0,0,0,0,17,3
2026-03-18 01:08:40.810295+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.383,1,0,0,0,0,0,0,0,0,18,3
2026-03-18 01:08:40.848690+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.211,1,0,0,0,0,0,0,0,0,19,3
2026-03-18 01:08:41.001704+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,0.973,1,0,0,0,0,0,0,0,0,20,3
2026-03-18 01:08:41.125870+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.254,1,0,0,0,0,0,0,0,0,21,3
2026-03-18 01:08:41.268968+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.179,1,0,0,0,0,0,0,0,0,22,3
2026-03-18 01:08:41.322349+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.19,1,0,0,0,0,0,0,0,0,23,3
2026-03-18 01:08:41.374842+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,0.923,1,0,0,0,0,0,0,0,0,24,3
2026-03-18 01:08:41.520755+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.254,1,0,0,0,0,0,0,0,0,25,3
2026-03-18 01:08:41.660580+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.257,1,0,0,0,0,0,0,0,0,26,3
2026-03-18 01:08:41.734106+00:00,127.0.0.1,GET,/health,,web_request,200,1.598,1,0,0,0,0,0,0,0,0,27,3
2026-03-18 01:08:41.813132+00:00,127.0.0.1,GET,/,,web_request,200,2.071,1,0,0,0,0,0,0,0,0,28,3
2026-03-18 01:08:41.917192+00:00,127.0.0.1,GET,/,,web_request,200,1.237,1,0,0,0,0,0,0,0,0,29,3
2026-03-18 01:08:42.031880+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.067,1,0,0,0,0,0,0,0,0,30,3
2026-03-18 01:08:42.104680+00:00,127.0.0.1,GET,/,,web_request,200,0.97,1,0,0,0,0,0,0,0,0,31,3
2026-03-18 01:08:42.159860+00:00,127.0.0.1,GET,/,,web_request,200,0.838,1,0,0,0,0,0,0,0,0,32,3
2026-03-18 01:08:42.258714+00:00,127.0.0.1,GET,/health,,web_request,200,1.812,1,0,0,0,0,0,0,0,0,33,3
2026-03-18 01:08:42.383137+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.15,1,0,0,0,0,0,0,0,0,34,3
2026-03-18 01:08:42.521803+00:00,127.0.0.1,GET,/,,web_request,200,0.716,1,0,0,0,0,0,0,0,0,35,3
2026-03-18 01:08:42.669593+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,0.995,1,0,0,0,0,0,0,0,0,36,3
2026-03-18 01:08:42.727739+00:00,127.0.0.1,GET,/health,,web_request,200,0.827,1,0,0,0,0,0,0,0,0,37,3
2026-03-18 01:08:42.770783+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,0.984,1,0,0,0,0,0,0,0,0,38,3
2026-03-18 01:08:42.893140+00:00,127.0.0.1,GET,/health,,web_request,200,1.188,1,0,0,0,0,0,0,0,0,39,3
2026-03-18 01:08:42.995143+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.502,1,0,0,0,0,0,0,0,0,40,3
2026-03-18 01:08:43.123778+00:00,127.0.0.1,POST,/login,,auth_failed,401,3.0,1,1,1,0,0,0,0,0,0,41,4
